Year;Region;RegionCode;Country;CountryCode;DataCategory;DataCategoryCode;IndicatorCoverageAndDisaggregation;DataAvailableLast5Years;DataAvailableLast10Years;FirstAdministrativeLevel;SecondAdministrativeLevel;CoverageSubscore;MachineReadability;NonProprietary;DownloadOptions;MetadataAvailability;TermsOfUse;OpennessSubscore;OverallScore
2018;Western Europe;EUW;Switzerland;CHE;Economic and financial statistics;1;6;5;5,5;2;0;18,5;7;4,5;4,5;6;0;22;40,5
2022;Western Asia;ASW;Armenia;ARM;Economic and financial statistics;1;6,5;5;6,5;0,5;0;18,5;6,5;5,5;5;5;0;22;40,5
2020;South America;AMZ;Brazil;BRA;Economic and financial statistics;1;6;6;6;0,5;0;18,5;6,5;6,5;4;5;0;22;40,5
2022;Northern Europe;EUN;Norway;NOR;Environment statistics;2;5;4,5;4,5;3;1,5;18,5;5;5;3,5;3,5;5;22;40,5
2018;Central America;AMM;Panama;PAN;Social statistics;3;5,5;5;5;2,5;0,5;18,5;6;7,5;3,5;5;0;22;40,5
2020;Caribbean;AMC;Dominican Republic;DOM;Economic and financial statistics;1;6;5,5;6;1;0;18,5;7;7;1,5;6,5;0;22;40,5
2018;Western Asia;ASW;Kuwait;KWT;Social statistics;3;6;5;4,5;2,5;0,5;18,5;7,5;8;2;4;0;21,5;40
2018;Eastern Europe;EUE;Poland;POL;Environment statistics;2;5;5;5;3;0,5;18,5;5;5;3,5;3;5;21,5;40
2017;Eastern Africa;AFE;Uganda;UGA;Economic and financial statistics;1;6,5;6,5;5,5;0;0;18,5;4;7;3,5;5,5;1,5;21,5;40
2022;Southern Asia;ASZ;Nepal;NPL;Social statistics;3;6,5;4,5;4;2,5;1;18,5;2;10;4;5;0;21;39,5
2020;South-Eastern Asia;ASE;Thailand;THA;Social statistics;3;7;5,5;5;1;0;18,5;3,5;10;3;4,5;0;21;39,5
2022;Eastern Africa;AFE;Mauritius;MUS;Economic and financial statistics;1;6,5;6;6;0;0;18,5;6,5;2,5;3,5;5;3,5;21;39,5
2022;Eastern Africa;AFE;Zambia;ZMB;Social statistics;3;7;3,5;4;3,5;0,5;18,5;3,5;9;3,5;4;1;21;39,5
2022;Western Africa;AFW;Nigeria;NGA;Economic and financial statistics;1;6,5;6;6;0;0;18,5;6,5;7;2,5;4,5;0;20,5;39
2020;Southern Europe;EUZ;Greece;GRC;Economic and financial statistics;1;6;5;5,5;1;1;18,5;3;4;2,5;4;6;19,5;38
2018;South America;AMZ;Ecuador;ECU;Economic and financial statistics;1;6;6;6;0,5;0;18,5;5,5;5;2;5;2;19,5;38
2016;Northern Europe;EUN;Estonia;EST;Environment statistics;2;5;4;4,5;3,5;1,5;18,5;5;5;2,5;4,5;2,5;19,5;38
2016;Eastern Europe;EUE;Moldova;MDA;Economic and financial statistics;1;6,5;6,5;5,5;0;0;18,5;7;5;2,5;5;0;19,5;38
2022;Eastern Africa;AFE;Malawi;MWI;Social statistics;3;5,5;4;2,5;3,5;3;18,5;1;8;2,5;4;4;19,5;38
2020;Central America;AMM;Honduras;HND;Social statistics;3;6,5;4;4;3;1;18,5;6,5;4;4,5;4,5;0;19,5;38
2020;South-Eastern Asia;ASE;Malaysia;MYS;Economic and financial statistics;1;6;6;6;0,5;0;18,5;7;6;2,5;3,5;0;19;37,5
2016;Northern Europe;EUN;Lithuania;LTU;Environment statistics;2;5;4;4;3,5;2;18,5;5;5;2,5;4;2,5;19;37,5
2018;Northern Europe;EUN;Norway;NOR;Environment statistics;2;5;4,5;5;3;1;18,5;5;5;3;3,5;2,5;19;37,5
2022;Western Africa;AFW;Senegal;SEN;Economic and financial statistics;1;6,5;6;5,5;0,5;0;18,5;2,5;7;1,5;3,5;4;18,5;37
2018;South America;AMZ;Uruguay;URY;Economic and financial statistics;1;6;6;6;0,5;0;18,5;7;0,5;3,5;3,5;3,5;18;36,5
2022;Pacific Islands;OPI;Samoa;WSM;Social statistics;3;8,5;4,5;3,5;1,5;0,5;18,5;0,5;10;3;4,5;0;18;36,5
2016;Western Europe;EUW;Switzerland;CHE;Economic and financial statistics;1;6;6;6;0,5;0;18,5;7;2;1;4,5;3;17,5;36
2018;Southern Asia;ASZ;Afghanistan;AFG;Social statistics;3;6,5;5;4;3;0;18,5;1,5;9;2;5;0;17,5;36
2024;Central America;AMM;Guatemala;GTM;Economic and financial statistics;1;6,5;6;5,5;0,5;0;18,5;5,5;7;3;2;0;17,5;36
2015;Western Asia;ASW;T?rkiye;TUR;Economic and financial statistics;1;6;6;6;0,5;0;18,5;5;3,5;3,5;5;0;17;35,5
2015;South America;AMZ;Peru;PER;Social statistics;3;5;5;4,5;3,5;0,5;18,5;7,5;0,5;0;8;0;16;34,5
2018;South America;AMZ;Paraguay;PRY;Social statistics;3;5;4,5;5;3;1;18,5;1,5;8;1;4,5;0;15;33,5
2016;Eastern Europe;EUE;Romania;ROU;Social statistics;3;4;4;4;3,5;3;18,5;6;0;0;6;3;15;33,5
2020;Southern Asia;ASZ;Pakistan;PAK;Social statistics;3;5,5;5;4,5;3;0,5;18,5;0;8;2,5;4;0;14,5;33
2022;Northern Africa;AFN;Egypt;EGY;Social statistics;3;5,5;4,5;4,5;3;1;18,5;0;9;2,5;3;0;14,5;33
2020;Middle Africa;AFM;Angola;AGO;Economic and financial statistics;1;6,5;6;5,5;0,5;0;18,5;3;5,5;2;4;0;14,5;33
2018;Southern Europe;EUZ;Bosnia and Herzegovina;BIH;Economic and financial statistics;1;6;6;6;0,5;0;18,5;1;7;2;3;0;13;31,5
2016;Western Africa;AFW;Sierra Leone;SLE;Social statistics;3;6,5;4,5;3;4,5;0;18,5;0;8;0;4;0;12;30,5
2018;Southern Asia;ASZ;Pakistan;PAK;Economic and financial statistics;1;6;6;5,5;1;0;18,5;0;7;1;4;0;12;30,5
2020;Eastern Africa;AFE;Kenya;KEN;Economic and financial statistics;1;6;6;6;0,5;0;18,5;0;7;1;3,5;0;11,5;30
2015;Western Africa;AFW;Cabo Verde;CPV;Social statistics;3;7;4,5;4;3;0;18,5;3;0;3,5;4;0;10,5;29
2016;South America;AMZ;Uruguay;URY;Economic and financial statistics;1;6;6;6;0,5;0;18,5;7;0;0;3,5;0;10,5;29
2015;South-Eastern Asia;ASE;Philippines;PHL;Social statistics;3;5;4,5;4;3;2;18,5;1;0;0;4;4;9;27,5
2015;Caribbean;AMC;Cuba;CUB;Environment statistics;2;4,5;4,5;4,5;3;2;18,5;4,5;0;0;4,5;0;9;27,5
2015;Southern Asia;ASZ;Bhutan;BTN;Economic and financial statistics;1;6,5;6,5;4,5;1;0;18,5;1,5;0;0;4;0;5,5;24
2015;Middle Africa;AFM;Cameroon;CMR;Social statistics;3;6;5;4;3,5;0;18,5;0,5;0;0;4;0;4,5;23
2015;Eastern Africa;AFE;Ethiopia;ETH;Economic and financial statistics;1;6,5;5;5,5;1;0,5;18,5;1;0;0;3,5;0;4,5;23
2015;South America;AMZ;Paraguay;PRY;Social statistics;3;5;5;5;3;0,5;18,5;1;0;0;2,5;0;3,5;22
2024;Western Europe;EUW;Luxembourg;LUX;Social statistics;3;6,5;5;5,5;0,5;0,5;18;7;9;7;4,5;7;34,5;52,5
2020;Eastern Asia;ASF;Mongolia;MNG;Economic and financial statistics;1;5,5;5,5;5;2;0;18;7;7;7;6;7;34;52
2018;Caribbean;AMC;Jamaica;JAM;Social statistics;3;6;5,5;4,5;2;0;18;5;9;5;5;9;33;51
2017;Eastern Africa;AFE;Rwanda;RWA;Social statistics;3;6,5;5,5;4;2;0;18;6;8,5;4;5;9;32,5;50,5
2020;Eastern Asia;ASF;Taiwan;TWN;Social statistics;3;5;5;5;3;0;18;7,5;8;4;5;6,5;31;49
2022;Western Europe;EUW;Luxembourg;LUX;Economic and financial statistics;1;6;6;6;0;0;18;7;6,5;5,5;4,5;7;30,5;48,5
2018;Western Asia;ASW;Cyprus;CYP;Economic and financial statistics;1;6;6;6;0;0;18;7;5,5;3,5;7;7;30;48
2022;Northern Europe;EUN;Ireland;IRL;Economic and financial statistics;1;6;6;6;0;0;18;6;6;6;6;6;30;48
2024;Western Africa;AFW;Senegal;SEN;Economic and financial statistics;1;6,5;6;5,5;0;0;18;5,5;7;5,5;5,5;6;29,5;47,5
2017;Southern Europe;EUZ;Slovenia;SVN;Economic and financial statistics;1;6;6;6;0;0;18;6;7;5,5;4;6;28,5;46,5
2020;Eastern Asia;ASF;Taiwan;TWN;Economic and financial statistics;1;6;6;6;0;0;18;7;6,5;4;3,5;7;28;46
2018;Eastern Asia;ASF;Taiwan;TWN;Social statistics;3;5;5;5;3;0;18;7,5;7,5;4;5;4;28;46
2024;Western Africa;AFW;Nigeria;NGA;Economic and financial statistics;1;6,5;6;5,5;0;0;18;6,5;7;3;5,5;4,5;26,5;44,5
2020;South-Eastern Asia;ASE;Indonesia;IDN;Economic and financial statistics;1;6;6;5,5;0,5;0;18;6;6;6;2,5;6;26,5;44,5
2018;Northern Europe;EUN;United Kingdom;GBR;Economic and financial statistics;1;6;6;6;0;0;18;6;5,5;3;6;6;26,5;44,5
2022;Western Asia;ASW;Iraq;IRQ;Social statistics;3;6;5;4;2,5;0,5;18;2,5;9;3;4,5;7;26;44
2016;Southern Europe;EUZ;Spain;ESP;Economic and financial statistics;1;5,5;5,5;5,5;1,5;0;18;7;6,5;3,5;5;3,5;25,5;43,5
2020;Northern Europe;EUN;United Kingdom;GBR;Economic and financial statistics;1;6;6;6;0;0;18;6;4,5;3;6;6;25,5;43,5
2018;Eastern Europe;EUE;Hungary;HUN;Economic and financial statistics;1;6;6;6;0;0;18;7;7;4,5;6;0,5;25;43
2020;Middle Africa;AFM;Congo, Dem. Rep.;COD;Social statistics;3;7,5;2,5;3,5;4,5;0;18;1;9;4;6;4,5;24,5;42,5
2020;Eastern Africa;AFE;Zambia;ZMB;Social statistics;3;6;4;2,5;4,5;1;18;3,5;9;4,5;4,5;3;24,5;42,5
2022;Caribbean;AMC;Jamaica;JAM;Economic and financial statistics;1;6;5,5;6;0,5;0;18;6;5,5;3,5;5,5;4;24,5;42,5
2024;South America;AMZ;Uruguay;URY;Social statistics;3;6,5;5;4;2,5;0;18;4;7,5;2,5;4,5;5,5;24;42
2017;Eastern Asia;ASF;Hong Kong SAR, China;HKG;Social statistics;3;6,5;6;5;0,5;0;18;5;9;4;6;0;24;42
2020;Eastern Africa;AFE;Zimbabwe;ZWE;Social statistics;3;6,5;4;3;4;0,5;18;3,5;8;4;5;3,5;24;42
2022;Western Africa;AFW;The Gambia;GMB;Economic and financial statistics;1;6;5,5;5,5;0,5;0,5;18;5,5;7;4,5;5;1;23;41
2022;South America;AMZ;Colombia;COL;Economic and financial statistics;1;6;6;6;0;0;18;7;5,5;1;6;3,5;23;41
2022;Eastern Europe;EUE;Poland;POL;Environment statistics;2;5;4,5;4,5;3;1;18;5;5;3;5;5;23;41
2020;Eastern Asia;ASF;Macao SAR, China;MAC;Economic and financial statistics;1;6;6;6;0;0;18;7;7;4;3,5;1,5;23;41
2024;Eastern Africa;AFE;Mauritius;MUS;Economic and financial statistics;1;6,5;5,5;6;0;0;18;6,5;5,5;3,5;4;3,5;23;41
2022;South-Eastern Asia;ASE;Malaysia;MYS;Economic and financial statistics;1;6,5;5,5;5;1;0;18;7;6,5;3;4;2;22,5;40,5
2020;Northern Europe;EUN;Sweden;SWE;Environment statistics;2;5;4,5;4,5;2,5;1,5;18;5;5;4;4;4,5;22,5;40,5
2022;Western Asia;ASW;Azerbaijan;AZE;Economic and financial statistics;1;6;6;6;0;0;18;7;6,5;4,5;4;0;22;40
2017;Northern Europe;EUN;Sweden;SWE;Environment statistics;2;5;4;4;3;2;18;4;5;4;4;5;22;40
2016;Southern Asia;ASZ;India;IND;Social statistics;3;5;5;4;4;0;18;7,5;5,5;0;4,5;4;21,5;39,5
2024;Southern Africa;AFZ;Lesotho;LSO;Social statistics;3;7,5;3;1,5;6;0;18;3;10;4,5;4;0;21,5;39,5
2020;South America;AMZ;Uruguay;URY;Economic and financial statistics;1;6;5,5;6;0,5;0;18;7;1;3;3,5;7;21,5;39,5
2020;Eastern Europe;EUE;Poland;POL;Environment statistics;2;5;4,5;4,5;3;1;18;5;5;3,5;3;5;21,5;39,5
2018;Eastern Africa;AFE;Mauritius;MUS;Social statistics;3;6,5;6;4,5;1;0;18;3,5;6,5;2,5;4,5;4,5;21,5;39,5
2020;Western Asia;ASW;Armenia;ARM;Economic and financial statistics;1;6;6;6;0;0;18;6,5;4,5;4,5;5,5;0;21;39
2017;Southern Europe;EUZ;Albania;ALB;Economic and financial statistics;1;7;5,5;5,5;0;0;18;6;5;6;3,5;0,5;21;39
2017;South America;AMZ;Colombia;COL;Economic and financial statistics;1;6;6;6;0;0;18;7;2;3;5,5;3,5;21;39
2016;Eastern Europe;EUE;Poland;POL;Environment statistics;2;5;4,5;4;3,5;1;18;4,5;5;2,5;4,5;4,5;21;39
2024;Southern Europe;EUZ;San Marino;SMR;Economic and financial statistics;1;6;6;6;0;0;18;7;7;3,5;3;0;20,5;38,5
2018;Southern Europe;EUZ;Croatia;HRV;Economic and financial statistics;1;6;6;6;0;0;18;3,5;7;2,5;3,5;3,5;20;38
2024;Southern Asia;ASZ;Maldives;MDV;Economic and financial statistics;1;6,5;5,5;5;0;0;18;6;7;3,5;3,5;0;20;38
2017;Eastern Europe;EUE;Poland;POL;Environment statistics;2;4,5;4,5;4,5;3;1,5;18;4;5;3,5;2,5;5;20;38
2016;South-Eastern Asia;ASE;Philippines;PHL;Social statistics;3;7;3,5;4;3;0,5;18;1,5;8;0,5;5,5;4;19,5;37,5
2020;Northern Europe;EUN;Norway;NOR;Environment statistics;2;5;4,5;4,5;2,5;1,5;18;5;5;3,5;3,5;2,5;19,5;37,5
2020;Eastern Africa;AFE;Uganda;UGA;Social statistics;3;7,5;5;4;1;0,5;18;2,5;9;2,5;5,5;0;19,5;37,5
2022;Caribbean;AMC;Dominican Republic;DOM;Economic and financial statistics;1;6;6;5;1;0;18;6;7;2;4,5;0;19,5;37,5
2016;Western Asia;ASW;Cyprus;CYP;Economic and financial statistics;1;6;5,5;5,5;1;0;18;6;1;0;6;6;19;37
2016;Western Africa;AFW;Nigeria;NGA;Economic and financial statistics;1;6;5,5;6;0,5;0;18;4;5,5;2;5;2,5;19;37
2022;Western Africa;AFW;Niger;NER;Social statistics;3;7;3,5;3;4;0,5;18;0,5;10;3,5;5;0;19;37
2018;South America;AMZ;Paraguay;PRY;Economic and financial statistics;1;6,5;5,5;6;0;0;18;3;6,5;2;4;3,5;19;37
2024;Pacific Islands;OPI;Fiji;FJI;Social statistics;3;8;5;3,5;1;0,5;18;0;10;4;5;0;19;37
2020;Western Asia;ASW;Azerbaijan;AZE;Economic and financial statistics;1;6;6;6;0;0;18;6;5,5;3,5;3,5;0;18,5;36,5
2018;Western Asia;ASW;Qatar;QAT;Social statistics;3;6;5,5;4;2;0,5;18;4;8;2;4,5;0;18,5;36,5
2024;Southern Asia;ASZ;Sri Lanka;LKA;Economic and financial statistics;1;6,5;5,5;6;0;0;18;5,5;7;3;3;0;18,5;36,5
2016;Eastern Europe;EUE;Slovakia;SVK;Social statistics;3;4,5;4,5;4;3;2;18;5,5;6;3;3,5;0,5;18,5;36,5
2017;Eastern Asia;ASF;Japan;JPN;Economic and financial statistics;1;6;6;5,5;0,5;0;18;6;1,5;1;3,5;6,5;18,5;36,5
2024;Eastern Africa;AFE;Seychelles;SYC;Economic and financial statistics;1;6,5;6;5,5;0;0;18;3,5;7;3;3,5;1,5;18,5;36,5
2022;Central America;AMM;Belize;BLZ;Economic and financial statistics;1;6;6;5,5;0,5;0;18;5,5;7;3;3;0;18,5;36,5
2018;Western Asia;ASW;Jordan;JOR;Social statistics;3;5;4,5;4,5;4;0;18;4;8;3,5;2;0;17,5;35,5
2024;South-Eastern Asia;ASE;Timor-Leste;TLS;Economic and financial statistics;1;6;5,5;4;1,5;1;18;5,5;5,5;2,5;4;0;17,5;35,5
2020;Eastern Africa;AFE;Zimbabwe;ZWE;Economic and financial statistics;1;6,5;5;6;0,5;0;18;2;7;3;3,5;2;17,5;35,5
2020;Western Africa;AFW;Senegal;SEN;Economic and financial statistics;1;6,5;6;5,5;0;0;18;1;7;1,5;3,5;4;17;35
2018;Western Africa;AFW;Guinea;GIN;Social statistics;3;7;4,5;3,5;3;0;18;0;9;3,5;4,5;0;17;35
2018;Southern Europe;EUZ;Montenegro;MNE;Economic and financial statistics;1;6;6;6;0;0;18;7;2;2,5;5,5;0;17;35
2020;Central Asia;ASC;Tajikistan;TJK;Social statistics;3;5,5;5;5;2,5;0;18;4,5;5,5;2;5;0;17;35
2024;Caribbean;AMC;Aruba;ABW;Economic and financial statistics;1;6;6;6;0;0;18;3;6;3;5;0;17;35
2017;Western Africa;AFW;Nigeria;NGA;Economic and financial statistics;1;6;5,5;6;0,5;0;18;4,5;4,5;3,5;4;0;16,5;34,5
2024;Southern Asia;ASZ;Bangladesh;BGD;Economic and financial statistics;1;6,5;6;5,5;0;0;18;3,5;7;2,5;3,5;0;16,5;34,5
2024;Pacific Islands;OPI;Papua New Guinea;PNG;Economic and financial statistics;1;6;5,5;5;1,5;0;18;5,5;7;3;1;0;16,5;34,5
2018;Western Africa;AFW;Ghana;GHA;Economic and financial statistics;1;6;5,5;5,5;1;0;18;3,5;7;2;3,5;0;16;34
2022;Southern Asia;ASZ;Bhutan;BTN;Economic and financial statistics;1;6;6;6;0;0;18;3,5;7;1;4;0;15,5;33,5
2016;Southern Asia;ASZ;Bhutan;BTN;Economic and financial statistics;1;6;6;5;1;0;18;0,5;7;0,5;5;2,5;15,5;33,5
2020;Western Africa;AFW;Ghana;GHA;Economic and financial statistics;1;6,5;5,5;5,5;0,5;0;18;4;7;2,5;1,5;0;15;33
2020;Southern Asia;ASZ;Bhutan;BTN;Economic and financial statistics;1;6;6;6;0;0;18;0,5;7;2,5;4,5;0;14,5;32,5
2018;Southern Asia;ASZ;Bhutan;BTN;Social statistics;3;5,5;4,5;4;4;0;18;0,5;7;2;5;0;14,5;32,5
2024;Eastern Africa;AFE;Ethiopia;ETH;Economic and financial statistics;1;6;5;5;1;1;18;1;7;3;3;0;14;32
2022;Southern Asia;ASZ;Nepal;NPL;Economic and financial statistics;1;6;5,5;5,5;1;0;18;1;7;2;3,5;0;13,5;31,5
2015;Caribbean;AMC;Cuba;CUB;Economic and financial statistics;1;6;5;6;0,5;0,5;18;6,5;0;0;7;0;13,5;31,5
2024;Caribbean;AMC;The Bahamas;BHS;Economic and financial statistics;1;6,5;6;5,5;0;0;18;0,5;7;2;4;0;13,5;31,5
2016;South-Eastern Asia;ASE;Philippines;PHL;Economic and financial statistics;1;6;6;5;1;0;18;2;6;1;0;3,5;12,5;30,5
2022;Pacific Islands;OPI;Vanuatu;VUT;Economic and financial statistics;1;6;5,5;5;1;0,5;18;0;7;1;4,5;0;12,5;30,5
2018;Caribbean;AMC;The Bahamas;BHS;Economic and financial statistics;1;6;6;6;0;0;18;0;7;0;5;0;12;30
2018;Southern Asia;ASZ;Bhutan;BTN;Economic and financial statistics;1;6;6;5,5;0,5;0;18;0,5;7;0,5;3,5;0;11,5;29,5
2020;Northern Africa;AFN;Algeria;DZA;Economic and financial statistics;1;6;6;6;0;0;18;0,5;6,5;1;3,5;0;11,5;29,5
2022;Northern Africa;AFN;Egypt;EGY;Economic and financial statistics;1;5,5;5,5;5,5;1,5;0;18;0;7;1;3,5;0;11,5;29,5
2015;Central Asia;ASC;Kyrgyz Republic;KGZ;Social statistics;3;5;5,5;5,5;2;0;18;7,5;0;0;4;0;11,5;29,5
2015;Western Africa;AFW;Nigeria;NGA;Social statistics;3;5;4;4;4,5;0,5;18;3,5;0;3,5;4;0;11;29
2015;Southern Asia;ASZ;India;IND;Economic and financial statistics;1;6;5;5;2;0;18;7;0;1,5;2,5;0;11;29
2015;Western Africa;AFW;Ghana;GHA;Economic and financial statistics;1;6,5;6,5;4;1;0;18;1,5;1,5;2;3,5;0;8,5;26,5
2015;Southern Asia;ASZ;Iran, Islamic Rep.;IRN;Economic and financial statistics;1;5,5;5,5;5,5;1,5;0;18;1,5;0;0;7;0;8,5;26,5
2015;South America;AMZ;Chile;CHL;Social statistics;3;4,5;4,5;4,5;3,5;1;18;1;0;0;7;0;8;26
2015;Southern Asia;ASZ;Afghanistan;AFG;Economic and financial statistics;1;6;5,5;4;1,5;1;18;4;0;0;3,5;0;7,5;25,5
2015;Eastern Europe;EUE;Belarus;BLR;Social statistics;3;4,5;4,5;4,5;3,5;1;18;2;0;0;5,5;0;7,5;25,5
2015;Eastern Africa;AFE;Tanzania;TZA;Social statistics;3;6;5;2,5;4;0,5;18;2;2;1;2,5;0;7,5;25,5
2015;Southern Asia;ASZ;Pakistan;PAK;Economic and financial statistics;1;6;5,5;5,5;1;0;18;0;0;0;7;0;7;25
2015;Southern Asia;ASZ;Nepal;NPL;Economic and financial statistics;1;6,5;5,5;5;1;0;18;0;0;0;6;0;6;24
2015;Middle Africa;AFM;Cameroon;CMR;Economic and financial statistics;1;6,5;5,5;5;0,5;0,5;18;0,5;0;0,5;3,5;0;4,5;22,5
2015;Caribbean;AMC;St. Lucia;LCA;Economic and financial statistics;1;6;6;5;0;0;18;1;0;0;3,5;0;4,5;22,5
2015;Western Africa;AFW;Burkina Faso;BFA;Social statistics;3;6;3;5,5;2,5;1;18;0;0;0;4;0;4;22
2022;Caribbean;AMC;Jamaica;JAM;Social statistics;3;6,5;4;4,5;2,5;0;17,5;7,5;10;6;5;10;38,5;56
2020;Western Asia;ASW;Cyprus;CYP;Social statistics;3;7;5;5;0,5;0;17,5;7;8;5;5;10;35;52,5
2018;Northern Europe;EUN;Ireland;IRL;Social statistics;3;5,5;5,5;5;1;0,5;17,5;8;8;6;4,5;8;34,5;52
2022;Western Asia;ASW;United Arab Emirates;ARE;Economic and financial statistics;1;6,5;5,5;5,5;0;0;17,5;7;7;6;5,5;6,5;32;49,5
2017;Northern Europe;EUN;Ireland;IRL;Social statistics;3;5,5;5,5;5,5;0,5;0,5;17,5;5;8;6;4;8;31;48,5
2017;South-Eastern Asia;ASE;Philippines;PHL;Social statistics;3;5,5;4,5;3,5;3;1;17,5;7,5;8;5;6;4;30,5;48
2018;Western Asia;ASW;Georgia;GEO;Social statistics;3;5,5;5,5;5,5;0,5;0,5;17,5;8;9;7,5;5,5;0;30;47,5
2017;Eastern Europe;EUE;Slovakia;SVK;Economic and financial statistics;1;5,5;5,5;5;1;0,5;17,5;5,5;7;5,5;6,5;5;29,5;47
2024;Western Asia;ASW;Bahrain;BHR;Social statistics;3;7;4;5,5;1;0;17,5;7,5;10;5,5;4;2;29;46,5
2020;Western Africa;AFW;Benin;BEN;Social statistics;3;7;4,5;2,5;3;0,5;17,5;7,5;7,5;6;4,5;3,5;29;46,5
2024;Western Asia;ASW;Iraq;IRQ;Social statistics;3;7,5;4;3,5;2,5;0;17,5;4;10;4,5;5;5;28,5;46
2024;Western Asia;ASW;Kuwait;KWT;Social statistics;3;7;5;3,5;2;0;17,5;6;9;4;4,5;4,5;28;45,5
2024;Western Asia;ASW;Bahrain;BHR;Economic and financial statistics;1;6,5;6;5;0;0;17,5;6;7;6,5;3,5;3,5;26,5;44
2018;Caribbean;AMC;Jamaica;JAM;Economic and financial statistics;1;6;6;5,5;0;0;17,5;4,5;6,5;4;6;5;26;43,5
2016;Western Europe;EUW;Austria;AUT;Social statistics;3;5;3,5;4,5;3,5;1;17,5;7;7;2,5;5,5;3,5;25,5;43
2018;Western Asia;ASW;Palestine;PSE;Social statistics;3;6,5;4;2,5;3,5;1;17,5;1;8;3,5;5;8;25,5;43
2022;South-Eastern Asia;ASE;Lao PDR;LAO;Social statistics;3;6;4,5;3;4;0;17,5;6;9;5,5;5;0;25,5;43
2018;South-Eastern Asia;ASE;Myanmar;MMR;Social statistics;3;5;4,5;4;4;0;17,5;4,5;9;5,5;5;0;24;41,5
2018;Northern Africa;AFN;Morocco;MAR;Economic and financial statistics;1;6;6;5;0,5;0;17,5;3;7;3,5;3,5;7;24;41,5
2022;Southern Asia;ASZ;Maldives;MDV;Social statistics;3;6,5;4,5;4,5;2;0;17,5;8;9;2;4,5;0;23,5;41
2024;Eastern Europe;EUE;Czech Republic;CZE;Economic and financial statistics;1;6,5;5,5;4,5;1;0;17,5;7;7;2,5;3,5;3,5;23,5;41
2024;Caribbean;AMC;Barbados;BRB;Economic and financial statistics;1;6;6;5,5;0;0;17,5;5;7;3,5;5;3;23,5;41
2020;Western Africa;AFW;The Gambia;GMB;Economic and financial statistics;1;6;5,5;5;0,5;0,5;17,5;5,5;7;4,5;5;1;23;40,5
2017;Southern Europe;EUZ;Malta;MLT;Economic and financial statistics;1;6,5;5,5;5,5;0;0;17,5;4;5;3;5;6;23;40,5
2016;Southern Europe;EUZ;North Macedonia;MKD;Social statistics;3;5,5;5;5;2;0;17,5;6,5;7,5;3,5;5,5;0;23;40,5
2022;Northern Europe;EUN;United Kingdom;GBR;Economic and financial statistics;1;6;5,5;6;0;0;17,5;6;4,5;3;3,5;6;23;40,5
2022;Northern Europe;EUN;Finland;FIN;Environment statistics;2;5;4,5;4,5;2,5;1;17,5;4,5;5;3,5;5;5;23;40,5
2016;Western Europe;EUW;France;FRA;Social statistics;3;5;4,5;3;2,5;2,5;17,5;5,5;6;2;5,5;3,5;22,5;40
2017;Western Asia;ASW;Kuwait;KWT;Social statistics;3;6;5;3,5;2,5;0,5;17,5;8;8;3,5;3;0;22,5;40
2024;Southern Asia;ASZ;Bhutan;BTN;Social statistics;3;7,5;5;2,5;2,5;0;17,5;4,5;10;2,5;5,5;0;22,5;40
2020;Northern Africa;AFN;Tunisia;TUN;Economic and financial statistics;1;6;5,5;5,5;0,5;0;17,5;4;7;4;4;3,5;22,5;40
2024;Eastern Asia;ASF;Mongolia;MNG;Environment statistics;2;5;4;4;2,5;2;17,5;5;5;4,5;3;5;22,5;40
2015;Eastern Africa;AFE;Rwanda;RWA;Economic and financial statistics;1;6,5;6;4;0,5;0,5;17,5;6,5;1;1;7;7;22,5;40
2020;South-Eastern Asia;ASE;Myanmar;MMR;Economic and financial statistics;1;6;5,5;5,5;0,5;0;17,5;6;7;5,5;3,5;0;22;39,5
2020;Caribbean;AMC;Jamaica;JAM;Economic and financial statistics;1;6;6;5,5;0;0;17,5;4,5;6,5;3,5;3,5;4;22;39,5
2022;South-Eastern Asia;ASE;Brunei Darussalam;BRN;Economic and financial statistics;1;6;6;5,5;0;0;17,5;7;7;3;4,5;0;21,5;39
2024;Western Africa;AFW;The Gambia;GMB;Economic and financial statistics;1;6;5,5;5;1;0;17,5;4;7;5;5;0;21;38,5
2022;Southern Europe;EUZ;Greece;GRC;Economic and financial statistics;1;5,5;5;5;1;1;17,5;4;5,5;2,5;3;6;21;38,5
2016;Southern Europe;EUZ;Albania;ALB;Social statistics;3;5,5;5;4,5;2,5;0;17,5;5;7,5;3;5,5;0;21;38,5
2017;South America;AMZ;Colombia;COL;Social statistics;3;5;3,5;4,5;3;1,5;17,5;6,5;2;2;6,5;4;21;38,5
2022;Pacific Islands;OPI;Tonga;TON;Social statistics;3;7;4,5;2,5;3,5;0;17,5;1;10;4;5;1;21;38,5
2018;Eastern Africa;AFE;Uganda;UGA;Economic and financial statistics;1;6,5;6;5;0;0;17,5;5;6,5;3;5;1,5;21;38,5
2018;Central America;AMM;El Salvador;SLV;Economic and financial statistics;1;6;5,5;6;0;0;17,5;6;7;4;4;0;21;38,5
2020;Southern Europe;EUZ;Kosovo;XKX;Economic and financial statistics;1;6;6;5,5;0;0;17,5;6;6;5,5;3;0;20,5;38
2018;Northern Europe;EUN;United Kingdom;GBR;Social statistics;3;5;4,5;5;1,5;1,5;17,5;6;1,5;2;5;6;20,5;38
